TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,
19989556,0.42616272,5.343857,8.485046,0.42616272,5.343857,8.485046,0.42616272,5.343857,8.485046,0.42616272,5.343857,8.485046,0.42616272,5.343857,8.485046,0.42616272,5.343857,8.485046,379.81366,1089.4442,-2911.8022,3518.9353,0.6,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",9
19989723,0.34475708,5.09964,8.518555,16.700745,-4.93927,-39.46228,-0.026611328,-0.06391907,0.008514404,-0.026611328,-0.06391907,0.008514404,-0.026611328,-0.06391907,0.008514404,-0.026611328,-0.06391907,0.008514404,253,838.90894,-0.003179857,-2982.77,0.6,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989826,0.6368561,4.893738,9.2799225,0.6368561,4.893738,9.2799225,0.6368561,4.893738,9.2799225,0.25912476,0.102249146,0.40679932,0.25912476,0.102249146,0.40679932,0.25912476,0.102249146,0.40679932,254,711,0,0,0.25,0.003921569," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",10
19989967,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,752,207,0,0,0.45000002,0.011764707," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",10
19989967,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,0.29208374,5.3630066,8.010986,752,207,0,0,0.45000002,0.011764707," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",10
19990090,0.27772522,5.5449677,8.724457,16.874695,-5.4611206,-38.6261,16.874695,-5.4611206,-38.6261,16.874695,-5.4611206,-38.6261,-0.008666992,0.27278137,0.4605713,-0.008666992,0.27278137,0.4605713,728.73816,584.6615,-705.2312,6490.4956,0.725,0.015686275," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",10
19990323,0.37348938,5.3342743,7.9918365,0.37348938,5.3342743,7.9918365,0.37348938,5.3342743,7.9918365,0.37348938,5.3342743,7.9918365,0.37348938,5.3342743,7.9918365,0.37348938,5.3342743,7.9918365,378.7,1159.1555,-2606.8083,2178.8079,0.725,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",10
19990490,0.33039856,5.1762543,8.298294,0.33039856,5.1762543,8.298294,0.33039856,5.1762543,8.298294,0.33039856,5.1762543,8.298294,-0.026031494,-0.055664063,0.011657715,-0.026031494,-0.055664063,0.011657715,257.35043,888.6406,139.25525,-2924.4548,0.725,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
